Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Deletion_Reason
gebuikt	adjectief	1.0	55255	55256	voorzien van een dikke buik	(van personen) voorzien van een dikke buik	Full definition shorter than short
gecijferdheid	substantief	1.0	571010	571016	vermogen om te kunnen rekenen	het in staat zijn om te rekenen	Full definition shorter than short
gedouw	substantief	1.0	652420	652489	het voortdurend of telkens weer douwen	het voortdurend of herhaaldelijk douwen	Full definition shorter than short
geduw	substantief	1.0	55570	55571	het voortdurend of telkens weer duwen	het voortdurend of herhaaldelijk duwen	Full definition shorter than short
geeltje	substantief	2.0	55633	55634	vijfentwintigguldenbiljet	briefje van vijfentwintig gulden	Full definition shorter than short
geen blad voor de mond nemen	verbinding	1.0	925365	925368	vrijuit zeggen wat men denkt	openhartig zeggen wat men denkt	Full definition shorter than short
geen boon	verbinding	1.0	905334	905336	totaal niet	helemaal niets	Full definition shorter than short
geen dubbeltje	verbinding	1.0	927430	927432	geen enkele	helemaal niets	Full definition shorter than short
geen fluit	verbinding	1.0	495972	912485	totaal niet	helemaal niets	Full definition shorter than short
geen gezicht zijn	verbinding	1.0	915944	915945	er niet uitzien	niet om aan te zien zijn	Full definition shorter than short
geen knip voor de neus waard zijn	verbinding	1.0	910366	917048	waardeloos zijn	niets waard zijn	Full definition shorter than short
geen kop of staart	verbinding	1.0	904820	904827	niets begrijpelijks	geen duidelijk begin of einde	Full definition shorter than short
geen kruimel	verbinding	2.0	495979	906376	totaal niet	helemaal niets	Full definition shorter than short
geen pap meer kunnen zeggen	verbinding	1.0	898015	898016	heel erg moe uit	heel erg moe zijn	Full definition shorter than short
geen pink	verbinding	1.0	924750	924751	totaal niet	helemaal niets	Full definition shorter than short
geen pink bewegen	verbinding	1.0	924788	924789	doodstil zitten	onbeweeglijk zijn	Full definition shorter than short
geen ros	verbinding	1.0	924181	924182	totaal niet	helemaal niets	Full definition shorter than short
geen sikkepit	voornaamwoord	1.0	495965	899259	totaal niet	helemaal niets	Full definition shorter than short
geen vin verroeren	verbinding	1.0	324999	922802	doodstil zijn	onbeweeglijk zijn	Full definition shorter than short
gegleufd	adjectief	1.0	405016	653371	voorzien van een gleuf of van gleuven	voorzien van een gleuf of gleuven voorzien van een vagina	Full definition shorter than short
gehandschoend	adjectief	1.0	55881	644247	omhuld met een handschoen of handschoenen	voorzien van een handschoen of handschoenen	Full definition shorter than short
geitenharen	adjectief	1.0	455954	503692	geitenwollen	gemaakt van geitenhaar	Full definition shorter than short
geitenwollen	adjectief	1.0	56052	56053	geitenharen	gemaakt van geitenwol	Full definition shorter than short
gekidnapte	substantief	1.0	636527	636528	iemand die ontvoerd is	iemand die gekidnapt is	Full definition shorter than short
gekuifd	adjectief	1.0	428791	653233	een kuif hebbend	voorzien van een kuif	Full definition shorter than short
gelaarsd	adjectief	1.0	56335	56336	met laarzen af te leggen door laarzen (van militairen) veroorzaakt	voorzien van laarzen waarvoor laarzen gedragen moeten worden door laarzen veroorzaakt	Full definition shorter than short
gelaarsd	adjectief	1.1	56335	653287	met laarzen af te leggen	waarvoor laarzen gedragen moeten worden	Full definition shorter than short
geldverslindend	adjectief	1.0	56489	56490	zeer duur	zeer veel of te veel geld kostend	Full definition shorter than short
geloofwaardig	adjectief	1.0	56762	56763	het geloven waard	waard om geloofd te worden	Full definition shorter than short
gelukkig	adjectief	1.0	56889	589963	fortuinlijk	door het lot begunstigd	Full definition shorter than short
gelukkig	adjectief	8.0	56889	590020	bij geluk	gelukkigerwijs	Full definition shorter than short
gelukkige verjaardag	verbinding	1.0	920958	920959	ook als wens	prettige verjaardag	Full definition shorter than short
geluksdag	substantief	2.0	397124	543587	dag waarop iemand geluk ten deel valt	dag waarop iemand iets gelukkigs overkomt	Full definition shorter than short
gemeenrechtelijk	adjectief	1.0	365488	643815	overeenkomstig het gemene recht	volgens het algemeen geldend recht	Full definition shorter than short
gemeubeld	adjectief	1.0	57149	57150	gemeubileerd	voorzien van meubels	Full definition shorter than short
Genuees	adjectief	1.0	57582	57584	van de Genuezen	van, uit, in Genua e.d.	Full definition shorter than short
gerecht	substantief	B.1.0	57801	522917	rechtsprekende instantie	rechtbank personen die bij de rechtbank werkzaam zijn	Full definition shorter than short
gerecht	adjectief	C.1.0	57801	523251	terecht	gerechtvaardigd	Full definition shorter than short
gerecht	adjectief	D.1.0	57801	523234	niet krom	recht gemaakt	Full definition shorter than short
gerokt	adjectief	1.0	470285	653440	een rok dragend	voorzien van een rok	Full definition shorter than short
gerokt	adjectief	3.0	470285	653454	een rokkostuum dragend	voorzien van een rokkostuum	Full definition shorter than short
gerust	adjectief	3.0	58015	590552	zonder meer	zonder bezwaar	Full definition shorter than short
gesoigneerd	adjectief	1.0	58257	58258	netjes	verzorgd	Full definition shorter than short
gestolen	adjectief	3.0	58373	58376	heimelijk	vlug en zonder toestemming genomen	Full definition shorter than short
geteisem	substantief	1.1	58463	58465	hinderlijk, abject volk	volk waar men een hekel aan heeft	Full definition shorter than short
getrek	substantief	1.0	58515	58516	het voortdurend of telkens weer trekken	het voortdurend of herhaaldelijk trekken	Full definition shorter than short
geüniformeerd agent	verbinding	1.0	907478	907502	agent in politiekleding	agent die een uniform draagt	Full definition shorter than short
gevondene	substantief	2.0	432628	883363	gevonden persoon iemand die in religieuze zin gered is	iemand die gevonden is iemand die in religieuze zin gered is	Full definition shorter than short
gewapenderhand	bijwoord	1.0	58909	58910	door militair ingrijpen	door wapens te gebruiken	Full definition shorter than short
geweld	substantief	2.0	58937	631065	krachtige inwerking	enorme, niet in te tomen kracht	Full definition shorter than short
geweldig	adjectief	2.0	58950	590766	hard	zeer luid	Full definition shorter than short
geweldig	adjectief	3.0	58950	590763	enorm	buitengewoon groot of sterk	Full definition shorter than short
geweldig	adjectief	4.0	58950	590764	fantastisch	buitengewoon goed of leuk	Full definition shorter than short
geweldig	adjectief	5.0	58950	590765	zeer	in hoge mate	Full definition shorter than short
gewonde	substantief	1.0	59082	59083	gewond persoon	iemand die gewond is	Full definition shorter than short
gezant	substantief	2.0	59172	59174	profeet	religieuze boodschapper	Full definition shorter than short
Ghanees	adjectief	1.0	59561	59563	van de Ghanezen	van, uit, in Ghana e.d.	Full definition shorter than short
gier	substantief	B.1.0	59624	236498	mestvocht	vloeibare mest	Full definition shorter than short
gisteravond	bijwoord	1.0	59856	59857	op de avond van gisteren	op de avond van de vorige dag	Full definition shorter than short
gisterenavond	bijwoord	1.0	479973	513599	op de avond van gisteren	op de avond van de vorige dag	Full definition shorter than short
gisterenmiddag	bijwoord	1.0	433196	513581	in de middag van gisteren	in de middag van de vorige dag	Full definition shorter than short
gisterenmorgen	bijwoord	1.0	395012	513604	in de morgen van gisteren	in de morgen van de vorige dag	Full definition shorter than short
gistermiddag	bijwoord	1.0	59860	59861	in de middag van gisteren	in de middag van de vorige dag	Full definition shorter than short
glansloos	adjectief	2.0	59969	205724	niet levendig	niet sprankelend	Full definition shorter than short
glo	substantief	1.0	422577	597159	basisonderwijs	gewoon lager onderwijs	Full definition shorter than short
God danken op zijn blote knieën	verbinding	1.0	917833	917834	zeer nederig bedanken of danken	zich om iets zeer gelukkig prijzen	Full definition shorter than short
goed van vertrouwen	verbinding	1.0	896148	896149	lichtgelovig	gemakkelijk vertrouwen hebbend	Full definition shorter than short
goedbetaald	adjectief	1.0	60513	60514	veel geld verdienend	een goed salaris hebbend	Full definition shorter than short
goedbetaald	adjectief	2.0	60513	231173	waaraan men veel geld verdient	waarvoor men een goed salaris krijgt	Full definition shorter than short
goedgevormd	adjectief	1.0	60586	60587	welgevormd	een mooie, fraaie vorm hebbend	Full definition shorter than short
goedgevormd	adjectief	2.0	60586	230366	goedopgeleid	een goede opleiding genoten hebbend	Full definition shorter than short
goklust	substantief	1.0	60676	60677	zin om te gokken	lust om te gokken	Full definition shorter than short
graspollen	substantief	1.0	205429	205456	pollen van gras	stuifmeel van gras	Full definition shorter than short
grasstuifmeel	substantief	1.0	205485	205523	pollen van gras	stuifmeel van gras	Full definition shorter than short
grijsaard	substantief	1.0	61815	61816	iemand die bejaard is	oudere man met grijs haar	Full definition shorter than short
groentewinkel	substantief	1.0	62147	62148	winkel waar aardappelen, groente en fruit verkocht wordt	winkel voor aardappelen, groente en fruit gebouw van een groentewinkel	Full definition shorter than short
groentezaak	substantief	1.0	62158	62159	zaak, winkel waar aardappelen, groente en fruit verkocht wordt	winkel waar aardappelen, groente en fruit verkocht wordt gebouw van een groentezaak	Full definition shorter than short
Groninger	adjectief	3.0	62565	62568	van de provincie Groningen	van, uit, in de provincie Groningen e.d.	Full definition shorter than short
Groninger	adjectief	4.0	62565	62569	van de stad Groningen	van, uit, in de stad Groningen e.d.	Full definition shorter than short
guerrillaschommelen	werkwoord	1.0	327979	327985	een guerrillaschommel gebruiken	op een guerrillaschommel schommelen	Full definition shorter than short
Haaksberger	adjectief	2.0	63145	63147	van Haaksbergen	van, uit, in Haaksbergen e.d.	Full definition shorter than short
haarloos	adjectief	1.0	63221	228279	zonder haar	niet of niet meer bedekt met haar	Full definition shorter than short
haarloos	adjectief	2.0	63221	228280	niet behaard	van nature niet bedekt met haar	Full definition shorter than short
haarloos	adjectief	3.0	63221	228281	zonder haar	nog niet bedekt met haar	Full definition shorter than short
Hagenees	adjectief	4.0	415149	539787	van, uit, in de taal van de Hagenaars	van, uit, in de taal van de Hagenaars e.d.	Full definition shorter than short
half weeskind	verbinding	1.0	900764	900766	kind dat een van beide ouders verloren heeft	kind van wie een van beide ouders overleden is	Full definition shorter than short
halfjaar	substantief	3.0	63457	549194	semester	helft van een studiejaar	Full definition shorter than short
hamburger	adjectief	3.0	63642	63645	van Hamburg	van, uit, in Hamburg e.d.	Full definition shorter than short
handtammig	adjectief	1.0	599164	599278	handverlegen	overal met de handen aan zittend	Full definition shorter than short
hapje	substantief	3.0	314934	551085	gerechtje	klein gerecht	Full definition shorter than short
Hardenberger	adjectief	2.0	64300	64302	van Hardenberg	van, uit, in Hardenberg e.d.	Full definition shorter than short
Harlinger	adjectief	2.0	64476	64478	van Harlingen	van, uit, in Harlingen e.d.	Full definition shorter than short
hartlijder	substantief	1.0	64633	64634	hartpatiënt	iemand die aan een hartkwaal lijdt	Full definition shorter than short
Hattemer	adjectief	2.0	64752	64754	van Hattem	van, uit, in Hattem e.d.	Full definition shorter than short
hazelaarpollen	substantief	1.0	205434	205443	pollen van de hazelaar	stuifmeel van de hazelaar	Full definition shorter than short
hazelaarstuifmeel	substantief	1.0	205493	205514	pollen van de hazelaar	stuifmeel van de hazelaar	Full definition shorter than short
heelmeester	substantief	1.2	65026	301801	iets wat geneest	iets wat een genezende werking heeft	Full definition shorter than short
Heerenvener	adjectief	2.0	65115	65117	van Heerenveen	van, uit, in Heerenveen e.d.	Full definition shorter than short
heerlijk	adjectief	3.0	65125	591459	voorbehouden aan de landsheer	van de eigenaar van een heerlijkheid	Full definition shorter than short
Heilooër	adjectief	2.0	547483	547617	van de Heilooërs	van, uit, in Heiloo e.d.	Full definition shorter than short
heraut	substantief	3.0	65768	65771	verkondiger	boodschapper	Full definition shorter than short
herfstseizoen	substantief	1.0	510822	510827	deel van het jaar waarin het herfst is	seizoen van de herfst periode van de herfst in een bepaald jaar	Full definition shorter than short
hesp	substantief	1.1	66523	526906	ham	dij van een mens	Full definition shorter than short
het belletje gaat rinkelen	verbinding	1.0	910716	910717	iets doet ergens aan denken	er komt iets in de herinnering op	Full definition shorter than short
het buskruit niet uitgevonden hebben	verbinding	1.0	901529	901530	nogal dom zijn	niet heel slim zijn	Full definition shorter than short
het doek valt	verbinding	1.0	903914	903915	iets loopt ten einde	iets houdt op te bestaan	Full definition shorter than short
het dubbeltje is gevallen	verbinding	1.0	911661	911662	iets is iemand eindelijk duidelijk geworden	de boodschap is eindelijk tot iemand doorgedrongen	Full definition shorter than short
het gras aan de overkant is altijd groener	spreekwoord	1.0	894511	894512	bij anderen lijkt het altijd beter	ergens anders lijkt het altijd beter	Full definition shorter than short
het groene hart	verbinding	1.0	925866	925867	de groene kern	een groen gebied	Full definition shorter than short
het hazenpad kiezen	verbinding	1.0	907298	928054	aan de haal gaan	uit bangheid op de vlucht gaan	Full definition shorter than short
het is me het avondje wel	verbinding	1.0	908578	908579	dit is bepaald geen avond zoals gewoonlijk	het is een bijzondere of merkwaardige avond	Full definition shorter than short
het krieken van de dag	verbinding	1.0	911085	911092	het aanbreken van de dag	het allereerste begin van de dag	Full definition shorter than short
het Kwaad	verbinding	1.0	907023	907024	Satan	de duivel	Full definition shorter than short
het kwade brein	verbinding	1.0	585961	894707	de aanstichter	de boosaardige bedenker	Full definition shorter than short
het loopt tegen de avond	verbinding	1.0	908653	908654	de avond nadert	de avond breekt bijna aan	Full definition shorter than short
het zout in de pap niet waard zijn	verbinding	1.0	918883	918885	niet veel waard zijn	niet veel voorstellen of presteren	Full definition shorter than short
het zout op zijn patatten niet waard zijn	verbinding	1.0	897726	897727	niet veel waard zijn	niet veel voorstellen of presteren	Full definition shorter than short
het zwarte beest	verbinding	1.0	910650	910651	angstgegner	gevreesde tegenstander	Full definition shorter than short
hobbyen	werkwoord	1.0	270701	270702	een hobby beoefenen	een hobby uitoefenen	Full definition shorter than short
hondsgemeen	adjectief	1.0	953159	953161	ingemeen ervan blijk gevend dat iemand heel erg gemeen is	heel erg gemeen ervan blijk gevend heel erg gemeen te zijn	Full definition shorter than short
Hondurees	adjectief	1.0	67841	67843	van Honduras	van, uit, in Honduras e.d.	Full definition shorter than short
hongerlijdertje	substantief	3.0	501323	501337	iemand met een zeer gering inkomen	iemand die zeer arm is kind dat zeer arm is	Full definition shorter than short
hongerlijdertje	substantief	3.1	501323	501436	armoelijdertje	kind dat zeer arm is	Full definition shorter than short
hoog te paard zitten	werkwoord	1.0	924589	924590	vanuit een ivoren toren opereren	zich verheven boven anderen voelen	Full definition shorter than short
hoop	substantief	B.3.0	68613	634770	menigte	grote groep mensen	Full definition shorter than short
hoop	substantief	A.1.1	68613	634729	toeverlaat	diegene of datgene waarop men hoopt	Full definition shorter than short
hou je waffel	verbinding	1.0	918946	918958	zwijg!	hou je mond!	Full definition shorter than short
huispoes	substantief	1.1	197425	197431	huis-tuin-en-keukenpoes	poes die geen raspoes is	Full definition shorter than short
huis-tuin-en-keuken-	overige	1.0	613248	613252	alledaags	niet bijzonder	Full definition shorter than short
Huizer	adjectief	2.0	69759	69761	van Huizen	van, in, uit Huizen e.d.	Full definition shorter than short
humorvol	adjectief	3.0	70149	229265	zeer humoristisch	veel humor bevattend	Full definition shorter than short
iemand bij de kraag grijpen	verbinding	1.0	906065	906068	iemand aanhouden	iemand arresteren	Full definition shorter than short
iemand bij de kraag vatten	verbinding	1.0	906066	906069	iemand aanhouden	iemand arresteren	Full definition shorter than short
iemand de baas kunnen	verbinding	2.0	910550	910577	beter zijn dan iemand	van iemand kunnen winnen	Full definition shorter than short
iemand door de kop schieten	verbinding	2.0	906334	906336	in iemands hoofd opkomen	iemand te binnen schieten	Full definition shorter than short
iemand een kop kleiner maken	verbinding	1.0	906050	906051	iemand eronder krijgen	iemand onthoofden of uitschakelen	Full definition shorter than short
iemand een loer draaien	verbinding	1.0	894861	894862	iemand voorliegen	iemand voor de gek houden	Full definition shorter than short
iemand het ei uit zijn gat vragen	verbinding	1.0	911945	911946	iemand helemaal uitvragen	alles over iemand willen weten	Full definition shorter than short
iemand iets in de schoenen schuiven	verbinding	1.0	896031	896032	iemand van iets beschuldigen	iemand ergens de schuld van geven	Full definition shorter than short
iemand in de boot nemen	verbinding	1.0	905238	905239	iemand beetnemen	een grap met iemand uithalen	Full definition shorter than short
iemand in de kraag grijpen	verbinding	1.0	906063	906070	iemand aanhouden	iemand arresteren	Full definition shorter than short
iemand in de kraag vatten	verbinding	1.0	906064	906071	iemand aanhouden	iemand arresteren	Full definition shorter than short
iemand in zijn sop laten gaarkoken	verbinding	1.0	913776	913779	iemand aan zijn lot overlaten	zich niet meer met iemand bemoeien	Full definition shorter than short
iemand in zijn zure saus laten gaarkoken	verbinding	1.0	913777	913778	iemand aan zijn lot overlaten	zich niet meer met iemand bemoeien	Full definition shorter than short
iemand klem rijden	verbinding	1.0	895846	895847	iemand hinderen met het uitvoeren van zijn plannen	iemand tegenhouden bij het uitvoeren van zijn plannen	Full definition shorter than short
iemand niet aan zijn kop kunnen hebben	verbinding	1.0	906082	906083	iemand gezeur niet kunnen velen	geen gezeur van iemand kunnen hebben	Full definition shorter than short
iemand wandelen sturen	verbinding	1.0	919456	919459	iemand onverrichter zake terugsturen	iemands plannen of voornemens afwijzen	Full definition shorter than short
iemand wandelen zenden	verbinding	1.0	919457	919458	iemand onverrichter zake terugsturen	iemands plannen of voornemens afwijzen	Full definition shorter than short
iemands gezicht vergeten	verbinding	1.0	915912	915913	iemand niet meer herkennen	vergeten hoe iemand eruitziet	Full definition shorter than short
iets in de aard van	verbinding	1.0	904065	904066	iets zoals	iets wat lijkt op	Full definition shorter than short
iets in het verkeer brengen	verbinding	1.0	921070	921071	iets op de markt brengen	iets in de handel brengen	Full definition shorter than short
iets in zijn kop halen	verbinding	1.0	906351	906356	erover denken	op het idee komen	Full definition shorter than short
iets in zout leggen	verbinding	1.0	918375	918376	ietsi nmaken in zout	iets inzouten om het te conserveren	Full definition shorter than short
iets in zout zetten	verbinding	1.0	918374	918377	iets inmaken in zout	iets inzouten om het te conserveren	Full definition shorter than short
iets is de baas over iemand	verbinding	1.0	910573	910574	iets houdt iemand in de greep	iemand heeft geen controle over iets	Full definition shorter than short
iets of iemand uit een boek	verbinding	1.0	900879	900880	iets wat of iemand die bedacht is	iets wat of iemand die niet echt is	Full definition shorter than short
iets te boek stellen	verbinding	1.0	900874	900875	iets vastleggen in een boek	een boek schrijven over iets	Full definition shorter than short
iets ten top drijven	verbinding	1.0	911614	911615	iets tot in extreme mate opdrijven	iets in een extreme toestand brengen	Full definition shorter than short
iets uit het vergeetboek tevoorschijn toveren	verbinding	1.0	920901	920902	iets aan de vergetelheid ontrukken	iets wat al vergeten was weer onder de aandacht brengen	Full definition shorter than short
i.h.b.	bijwoord	1.0	70732	70733	met name	in het bijzonder	Full definition shorter than short
i.i.g.	bijwoord	1.0	558274	558275	hoe dan ook	in ieder geval	Full definition shorter than short
image	substantief	3.0	71301	308708	plaatje	digitale afbeelding	Full definition shorter than short
impermeabel	substantief	2.0	365586	567727	regenjas	waterdichte jas	Full definition shorter than short
in ademnood komen	verbinding	2.0	904539	904540	in moeilijke omstandigheden komen	in moeilijke omstandigheden verkeren	Full definition shorter than short
in ademnood verkeren	verbinding	2.0	904550	904552	geldgebrek hebben	in moeilijke omstandigheden verkeren	Full definition shorter than short
in bloem staan	verbinding	2.0	904717	904719	versierd zijn met bloemen	vol staan met bloeiende planten	Full definition shorter than short
in de bonen	verbinding	1.0	905349	905350	verward	in de war	Full definition shorter than short
in de dop	verbinding	1.0	904017	904018	in spe	in wording	Full definition shorter than short
in de puree	verbinding	1.0	929940	929941	helemaal stuk	helemaal kapot	Full definition shorter than short
in de puree zitten	verbinding	1.0	519179	929945	in angst verkeren	in de problemen zitten	Full definition shorter than short
in de vaart komen	verbinding	1.0	920478	920479	voor de scheepvaart ingezet worden	als vaartuig in gebruik genomen worden	Full definition shorter than short
in de vis	verbinding	1.0	923529	923530	in de vishandel	in de visverkoop	Full definition shorter than short
in de voetsporen van zijn vader	verbinding	1.0	920510	920511	op dezelfde wijze als zijn vader	naar het voorbeeld van zijn vader	Full definition shorter than short
in de winkel staan	verbinding	2.0	919385	919387	winkelbediende zijn	als verkoper in een winkel werken	Full definition shorter than short
in een dalletje zitten	verbinding	1.0	911906	911907	weinig fut hebben	niet lekker in zijn vel zitten	Full definition shorter than short
in een hutje op de hei	verbinding	1.0	917283	917284	zeer afgelegen	niet in contact met anderen	Full definition shorter than short
in een lekke boot zitten	verbinding	1.0	905245	905246	dreigen ten onder te gaan	in moeilijke omstandigheden verkeren	Full definition shorter than short
in het aas bijten	verbinding	1.0	904126	904127	toehappen	gretig aannemen	Full definition shorter than short
in staatshanden	bijwoord	1.0	435345	938288	in handen van de staat	in het bezit van de staat	Full definition shorter than short
in veilige haven	verbinding	1.0	903665	903666	uit de gevarenzone	op een veilige plaats	Full definition shorter than short
industrieel	adjectief	A.1.1	72156	524252	uit een fabriek	door de industrie geproduceerd	Full definition shorter than short
inslaan als een bom	verbinding	1.0	905389	905390	als een klap aankomen	hevige onrust veroorzaken	Full definition shorter than short
inslaan als een bom	verbinding	2.0	905389	905391	een klapper zijn	meteen een groot succes zijn	Full definition shorter than short
Irakees	adjectief	1.0	74672	74674	van Irak	van, uit, in Irak e.d.	Full definition shorter than short
Iranees	adjectief	1.0	544525	544574	van de Iranezen	van, uit, in Iran e.d.	Full definition shorter than short
jaarling	substantief	1.0	74962	74963	enter	dier van een jaar oud	Full definition shorter than short
Jan Modaal	substantief	1.0	590930	590935	prototype van de gemiddelde werknemer	de gemiddelde werknemer de gemiddelde man	Full definition shorter than short
Jan Modaal	substantief	1.1	590930	590957	de doorsneeman	de gemiddelde man	Full definition shorter than short
je moet een broedende kip niet storen	verbinding	1.0	896184	896185	je moet iemand die ergens mee bezig is niet storen	je moet iemand die iets aan het doen is met rust laten	Full definition shorter than short
jichtlijder	substantief	1.0	402666	501035	jichtpatiënt	iemand die aan jicht lijdt	Full definition shorter than short
jichtpatiënt	substantief	1.0	501042	502796	patiënt met jicht	iemand die aan jicht lijdt	Full definition shorter than short
jobstudent	substantief	1.0	75886	75887	student met een job	student met een baan	Full definition shorter than short
jofel	adjectief	5.0	75932	75937	voorspoedig	op een vlotte en wenselijke, prettige wijze	Full definition shorter than short
jonkie	substantief	5.0	76153	577416	jonge jenever	glas jonge jenever	Full definition shorter than short
journaliste	substantief	1.0	76206	76207	vrouwelijke journalist	vrouw die journalist is	Full definition shorter than short
kabouter	substantief	2.0	76980	220243	dwerg	zeer klein persoon	Full definition shorter than short
kamelenweg	substantief	1.0	207852	220093	kamelenroute	weg die de kamelen nemen	Full definition shorter than short
kanoën	werkwoord	1.0	77661	77662	kanovaren	met een kano varen	Full definition shorter than short
kantje	substantief	3.0	77732	649756	aspect	eigenschap	Full definition shorter than short
kantje boord zijn	verbinding	1.0	601328	905278	bijna mislukken	op het nippertje slagen	Full definition shorter than short
Kantonees	adjectief	1.0	77743	77745	van Kanton	van, uit, in Kanton e.d.	Full definition shorter than short
Kantonees	adjectief	4.0	77743	77747	in de Kantonese taal	van, in het Kantonees	Full definition shorter than short
kasyu	substantief	3.0	601738	602941	acajouboom	boom waaraan de cashewnoten groeien	Full definition shorter than short
kat	substantief	4.0	78332	78336	snauw	bitse opmerking	Full definition shorter than short
kattin	substantief	1.0	196502	196532	vrouwtjeskat	vrouwelijke kat	Full definition shorter than short
kees	substantief	B.3.0	78802	200935	penis	mannelijk lid	Full definition shorter than short
keinijg	adjectief	1.0	451207	549395	steengoed	heel erg goed	Full definition shorter than short
keitof	adjectief	1.0	365641	549404	supertof	heel erg tof	Full definition shorter than short
kers	substantief	2.1	79346	529053	kersenhout	hout van de kersenboom	Full definition shorter than short
kidnapping	substantief	1.3	79763	636480	juridische aanklacht wegens kidnapping	(metonymisch) aanklacht wegens ontvoering	Full definition shorter than short
kiften	werkwoord	1.0	79944	79945	ruziën	ruziemaken	Full definition shorter than short
kijken alsof je je laatste oortje versnoept hebt	verbinding	1.0	921221	921222	beteuterd kijken	teleurgesteld kijken	Full definition shorter than short
kinderarm	adjectief	B.1.2	665948	885362	weinig kinderen tellend	uit weinig kinderen bestaand	Full definition shorter than short
kinderarme	substantief	1.0	666166	666169	iemand die kinderarm is	iemand die weinig kinderen heeft	Full definition shorter than short
kinderhoofdje	substantief	1.0	401232	660020	beeldhouwwerk van het hoofdje van een kind	hoofdje van een kind voorstelling van het hoofdje van een kind	Full definition shorter than short
kinderloze	substantief	1.0	666173	666350	iemand die kinderloos is	iemand die geen kind of kinderen heeft	Full definition shorter than short
kinderrijke	substantief	1.0	666150	666154	iemand die kinderrijk is	iemand die veel kinderen heeft	Full definition shorter than short
Kirgies	adjectief	2.0	80532	80534	van de Kirgiezen	van, uit, in Kirgizië e.d.	Full definition shorter than short
kiwi	substantief	4.0	365658	555760	Nieuw-Zeelander	iemand uit Nieuw-Zeeland	Full definition shorter than short
klap in het gezicht	verbinding	1.0	914215	914217	plotselinge schok	gebeurtenis die of bericht dat hard aankomt	Full definition shorter than short
kledder	adjectief	C.1.0	80972	80982	door en door nat	kleddernat, kletsnat	Full definition shorter than short
kloek	adjectief	B.2.0	81761	382059	moedig	vastberaden	Full definition shorter than short
kluns	substantief	1.0	81993	81994	sukkel	onhandig persoon	Full definition shorter than short
knapkop	substantief	2.0	601762	603547	knappe kop	iemand die intelligent is	Full definition shorter than short
knapperd	substantief	1.0	415213	503334	iemand die knap is	iemand met veel kennis	Full definition shorter than short
knapperd	substantief	2.0	415213	503335	iemand die knap is	iemand met een mooi uiterlijk	Full definition shorter than short
kniezerig	adjectief	2.0	406605	559310	tot kniezen aanzettend	aanleiding gevend tot kniezen	Full definition shorter than short
knoflook	substantief	4.0	82580	529643	knoflooksoort	soort knoflook	Full definition shorter than short
knorrig	adjectief	2.0	82666	587154	humeurig	blijk gevend van een slecht humeur	Full definition shorter than short
knul	substantief	2.0	82757	82758	opgeschoten jongen	opgeschoten jonge man	Full definition shorter than short
kogelvrij vest	verbinding	1.0	496832	922756	vest dat kogels tegenhoudt	vest dat beschermt tegen kogels	Full definition shorter than short
kogelwerend vest	verbinding	1.0	514775	922755	vest dat kogels tegenhoudt	vest dat beschermt tegen kogels	Full definition shorter than short
koken	werkwoord	1.1	83329	886830	te warm worden	oververhit raken	Full definition shorter than short
kokendheet	adjectief	2.0	83336	886479	woedend	zeer boos	Full definition shorter than short
koningsdochter	substantief	1.0	401626	636004	prinses	dochter van een koning	Full definition shorter than short
konkelen	werkwoord	2.0	83637	83638	roddelen	kwaadspreken	Full definition shorter than short
kop	substantief	5.0	83997	638571	iets ronds	iets wat op een kop lijkt	Full definition shorter than short
kop en staart	verbinding	1.0	904833	904835	een begrijpelijk geheel	een duidelijk begin en einde	Full definition shorter than short
kop noch staart	verbinding	1.0	904818	904822	niets begrijpelijks	geen duidelijk begin of einde	Full definition shorter than short
kortgerokt	adjectief	1.0	84475	84476	een korte rok dragend	voorzien van een korte rok	Full definition shorter than short
krakeling	substantief	1.0	85011	85012	bros koekje in de vorm van een 8 krakeling van schuim en chocolade	koekje in de vorm van een 8 schuimkrakeling figuur in de vorm van een krakeling	Full definition shorter than short
kredietkaartnummer	substantief	1.0	85209	211962	nummer van een creditcard	nummer van een kredietkaart	Full definition shorter than short
krijger	substantief	1.0	85403	85404	krijgsman	iemand die krijg voert	Full definition shorter than short
krijger	substantief	3.0	85403	85406	ontvanger	iemand die iets krijgt	Full definition shorter than short
kromanti	substantief	1.0	426450	604404	kromantiwinti	luchtgod in de wintireligie	Full definition shorter than short
kruimel	substantief	3.0	85813	563361	kleinigheid	klein beetje	Full definition shorter than short
kunstlederen	adjectief	2.0	421250	503784	kunstleren	bekleed met kunstleer	Full definition shorter than short
kuttenkop	substantief	1.0	415216	517287	kutwijf	afschuwelijke vrouw	Full definition shorter than short
kwaad	adjectief	A.2.0	86560	86565	met slechte bedoelingen	slecht in moreel opzicht	Full definition shorter than short
kwade	substantief	1.0	585157	600941	iemand die kwaad doet	iemand die boosaardig is	Full definition shorter than short
kwade geest	verbinding	1.0	585975	894711	onheil brengende kracht	kwaadaardig geestelijk wezen	Full definition shorter than short
kwade kracht	verbinding	1.0	894716	894718	onheil brengende kracht	kwaadaardig geestelijk wezen	Full definition shorter than short
kwade macht	verbinding	1.0	894717	894721	onheil brengende kracht	kwaadaardig geestelijk wezen	Full definition shorter than short
