Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Deletion_Reason
aidslijder	substantief	1.0	402503	501043	aidspatiënt minderwaardig persoon	iemand die aan aids lijdt minderwaardig persoon	Full definition shorter than short
aidspatiënt	substantief	1.0	400234	502100	aidslijder	iemand die aan aids lijdt	Full definition shorter than short
ajuin	substantief	3.0	5537	486220	inwoner van de stad Aalst in Oost-Vlaanderen	inwoner van Aalst speler van een team uit Aalst	Full definition shorter than short
ajuin	substantief	4.0	5537	486253	vagina	vrouwelijk schaamdeel	Full definition shorter than short
aka	bijwoord	A.1.0	356463	882299	bijgenaamd	ook wel bekend als	Full definition shorter than short
akelig	adjectief	1.0	5547	5548	naar	onaangenaam voor de zintuigen	Full definition shorter than short
Albanees	adjectief	1.0	5641	5645	van de Albanezen	van, uit, in Albanië	Full definition shorter than short
alcoholicus	substantief	1.0	5716	5717	alcoholverslaafde	iemand die verslaafd is aan alcohol	Full definition shorter than short
alcoholist	substantief	1.0	5724	5725	alcoholverslaafde	iemand die verslaafd is aan alcohol	Full definition shorter than short
alcoholverslaafde	substantief	1.0	5776	5777	alcoholicus	iemand die verslaafd is aan alcohol	Full definition shorter than short
alcoholvrij	adjectief	1.0	5780	5781	zonder alcohol geen alcohol bevattend	geen alcohol bevattend geen alcohol bevattend	Full definition shorter than short
alcoholvrij	substantief	5.0	5780	578112	alcoholvrije drank	alcoholvrije dranken	Full definition shorter than short
alcoholvrij	adjectief	1.1	5780	578134	zonder alcohol	geen alcohol bevattend	Full definition shorter than short
aldoor	bijwoord	1.0	5800	5801	voortdurend	steeds maar weer	Full definition shorter than short
algemeen	substantief	6.0	5852	580012	de maatschappij	alle mensen samen	Full definition shorter than short
alhamdulillah	tussenwerpsel	1.0	979474	979475	God zij dank	alle lof zij aan Allah	Full definition shorter than short
alla	tussenwerpsel	1.0	5938	631493	toe maar	vooruit dan maar	Full definition shorter than short
alle hoop laten varen	verbinding	1.0	928155	928156	niet meer hopen	alle hoop verliezen	Full definition shorter than short
alleen	bijwoord	6.0	5952	5956	echter	met dit voorbehoud	Full definition shorter than short
alleen	adjectief	1.1	5952	580484	alleenstaand	zonder partner	Full definition shorter than short
allejezus	bijwoord	B.1.0	5992	523943	zeer	buitengewoon	Full definition shorter than short
allejezus	bijwoord	B.2.0	5992	523944	verschrikkelijk	op verschrikkelijke wijze	Full definition shorter than short
allerduurst	adjectief	1.0	412595	934383	buitengewoon duur	het duurst van allemaal	Full definition shorter than short
allerhartelijkst	adjectief	1.0	398546	934188	buitengewoon hartelijk	op de meest hartelijke wijze	Full definition shorter than short
allerkleinst	adjectief	1.0	6046	939485	het kleinst van alle genoemde (abstracte of concrete) zaken, personen of dieren	het kleinst van alle of allen het meest geringe formaat hebbend de jongste leeftijd hebbend	Full definition shorter than short
allerkleinste	substantief	1.0	6048	939492	iemand die het kleinst is van allemaal	iemand die zeer klein is iemand die zeer klein is van formaat iemand die zeer klein is qua leeftijd	Full definition shorter than short
allerleukst	adjectief	1.0	6054	934166	buitengewoon leuk	het leukst van alles	Full definition shorter than short
allesverlammend	adjectief	1.0	433192	516824	alle zaken verlammend	een totaal verlammende uitwerking hebbend	Full definition shorter than short
allochtoon	adjectief	A.1.1	6120	636767	gevormd door allochtonen	bestaande uit allochtonen	Full definition shorter than short
